Patched jax.experimental.layout.DeviceLocalLayout -> <class 'jax._src.layout.Layout'>
Initial shape from: /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/cont3_lambda_100000_10_100000_100_1/checkpoint_10000
Use pretrained data as initial condition...
[biconcave] pretrain=checkpoint lambdas=(100000,10,100000,100,1,1) -> /mmfs1/gscratch/matsulab/sim/pinn-exploration-model/outputs/logs/biconcave/data_0123/a000_m00/test_lambda_100000_10_100000_100_1_1
[make_train_step] mode = curv+lapH+forc
  use_curv = True
  use_lapH = True
  use_forc = True
  0%|          | 0/10000 [00:00<?, ?it/s]
step=1 loss=379546752.0 ld=0.017243053764104843 lp=248.56051635742188 ls=0.00024238228797912598 lc=13.740915298461914 ll=259.2055358886719 lf=379540896.0 grad_norm=37841833984.0
step=2 loss=389675360.0 ld=0.03504576534032822 lp=266.2662048339844 ls=0.00018055913096759468 lc=17.518924713134766 ll=1048.511962890625 lf=389666368.0 grad_norm=232842543104.0
step=3 loss=139556929536.0 ld=0.030992474406957626 lp=281.0428466796875 ls=0.0003221063525415957 lc=20.495370864868164 ll=2516.23583984375 lf=139556913152.0 grad_norm=61423711420416.0
step=4 loss=379488352.0 ld=0.016484960913658142 lp=286.9528503417969 ls=0.0002244709467049688 lc=21.481739044189453 ll=2507.146240234375 lf=379479168.0 grad_norm=110606786560.0
step=5 loss=31626417405952.0 ld=0.03492584079504013 lp=274.9679260253906 ls=0.0012718313373625278 lc=23.439090728759766 ll=3279.48583984375 lf=31626417405952.0 grad_norm=1.8904657183113216e+16
step=6 loss=129977408.0 ld=0.016126012429594994 lp=280.19305419921875 ls=0.0001955873885890469 lc=20.58808135986328 ll=2071.563232421875 lf=129968840.0 grad_norm=36763975680.0
step=7 loss=1711083776.0 ld=0.026417478919029236 lp=268.75823974609375 ls=0.00021925415785517544 lc=19.19697380065918 ll=1664.82177734375 lf=1711074816.0 grad_norm=573371973632.0
step=8 loss=1.125410366470226e+17 ld=0.046471863985061646 lp=268.5715026855469 ls=0.0005969595513306558 lc=18.81217384338379 ll=1788.9083251953125 lf=1.125410366470226e+17 grad_norm=inf
step=9 loss=691783360.0 ld=0.022155573591589928 lp=267.793212890625 ls=0.00020653524552471936 lc=18.994577407836914 ll=1485.8359375 lf=691775040.0 grad_norm=195330342912.0
step=10 loss=81267680.0 ld=0.015738585963845253 lp=275.577880859375 ls=0.00023707472428213805 lc=20.16387367248535 ll=1838.013916015625 lf=81259472.0 grad_norm=24792227840.0
step=11 loss=803866804224.0 ld=0.029069388285279274 lp=268.1709289550781 ls=0.0008711547707207501 lc=21.99820327758789 ll=2634.456298828125 lf=803866804224.0 grad_norm=451777442873344.0
step=12 loss=8.321515656162207e+19 ld=0.048947229981422424 lp=264.9948425292969 ls=0.003907223232090473 lc=24.26388931274414 ll=3757.216796875 lf=8.321515656162207e+19 grad_norm=inf
step=13 loss=7.533327667158424e+19 ld=0.04870491102337837 lp=264.7919921875 ls=0.003880298463627696 lc=24.308870315551758 ll=3746.939453125 lf=7.533327667158424e+19 grad_norm=inf
step=14 loss=6.570024419440617e+19 ld=0.04842211306095123 lp=264.6193542480469 ls=0.0038466723635792732 lc=24.36193084716797 ll=3728.549560546875 lf=6.570024419440617e+19 grad_norm=inf
step=15 loss=5.572605085131525e+19 ld=0.04811295121908188 lp=264.5134582519531 ls=0.0038136886432766914 lc=24.413936614990234 ll=3704.852783203125 lf=5.572605085131525e+19 grad_norm=inf
step=16 loss=4.623764813365484e+19 ld=0.047840703278779984 lp=264.4795837402344 ls=0.0037848663050681353 lc=24.47922134399414 ll=3683.577392578125 lf=4.623764813365484e+19 grad_norm=inf
